,MedianIncome,ZipCode
474,92188.0,11769
475,106120.0,11771
476,68230.0,11772
477,84733.0,11776
478,109696.0,11777
479,85893.0,11778
480,87081.0,11779
481,109091.0,11780
482,108594.0,11782
483,104523.0,11783
484,88104.0,11784
485,130800.0,11786
486,107477.0,11787
487,104888.0,11788
488,79764.0,11789
489,138036.0,11790
490,139565.0,11791
491,119137.0,11792
492,113277.0,11793
493,104923.0,11795
494,96071.0,11796
495,150920.0,11797
496,65000.0,11798
497,91718.0,11801
498,120955.0,11803
499,115370.0,11804
500,51350.0,11901
501,64593.0,11933
502,93929.0,11934
503,91298.0,11935
504,81057.0,11937
505,66583.0,11939
506,92200.0,11940
507,58487.0,11941
508,87044.0,11942
509,54394.0,11944
510,72023.0,11946
511,113036.0,11948
512,104785.0,11949
513,68338.0,11950
514,65534.0,11951
515,86286.0,11952
516,69690.0,11953
517,68528.0,11954
518,63766.0,11955
519,82895.0,11957
520,83000.0,11958
521,54312.0,11961
522,85583.0,11963
523,82557.0,11967
524,84715.0,11968
525,90294.0,11971
526,160536.0,11976
527,96648.0,11977
528,80066.0,11978
529,84972.0,11980
530,80000.0,12007
531,58375.0,12008
532,80750.0,12009
533,44256.0,12010
534,61164.0,12015
535,67917.0,12017
536,80126.0,12018
537,90897.0,12019
538,68252.0,12020
539,68438.0,12022
540,56250.0,12023
541,,12024
542,56938.0,12025
543,95690.0,12027
544,77143.0,12028
545,78365.0,12029
546,52813.0,12031
547,45938.0,12032
548,68382.0,12033
549,39813.0,12035
550,45982.0,12036
551,56354.0,12037
552,46944.0,12041
553,68750.0,12042
554,49589.0,12043
555,75263.0,12046
556,47138.0,12047
557,49408.0,12051
558,68500.0,12052
559,86250.0,12053
560,94874.0,12054
561,,12055
562,91300.0,12056
563,53194.0,12057
564,49479.0,12058
565,83409.0,12059
566,79219.0,12060
567,84714.0,12061
568,65294.0,12062
569,125109.0,12063
570,37500.0,12064
571,80908.0,12065
572,63750.0,12066
573,68125.0,12067
574,47813.0,12068
575,69643.0,12070
576,56500.0,12071
577,53387.0,12072
578,72328.0,12074
579,67755.0,12075
580,57868.0,12076
581,82966.0,12077
582,37766.0,12078
583,49375.0,12083
584,71750.0,12084
585,50673.0,12085
586,52036.0,12086
587,51667.0,12087
588,54716.0,12090
589,41757.0,12092
590,56563.0,12093
591,54594.0,12094
592,43967.0,12095
593,70156.0,12106
594,51563.0,12108
595,76408.0,12110
596,81167.0,12115
597,51736.0,12116
598,55032.0,12117
599,61389.0,12118
600,47083.0,12120
601,70365.0,12121
602,50532.0,12122
603,65458.0,12123
604,50726.0,12125
605,87643.0,12130
606,37917.0,12131
607,48547.0,12134
608,88594.0,12136
609,63542.0,12137
610,65857.0,12138
611,44063.0,12139
612,80083.0,12140
613,57371.0,12143
614,63449.0,12144
615,60875.0,12147
616,107540.0,12148
617,49357.0,12149
618,76151.0,12150
619,73304.0,12151
620,82724.0,12153
621,67721.0,12154
622,45938.0,12155
623,64107.0,12156
624,60560.0,12157
625,79662.0,12158
626,87794.0,12159
627,56923.0,12160
628,57083.0,12164
629,56111.0,12165
630,55341.0,12166
631,49605.0,12167
632,59688.0,12168
633,45000.0,12169
634,70377.0,12170
635,68137.0,12173
636,51094.0,12175
637,73750.0,12176
638,47640.0,12180
639,45251.0,12182
640,52292.0,12183
641,78247.0,12184
642,73684.0,12185
643,83846.0,12186
644,67500.0,12187
645,66211.0,12188
646,47263.0,12189
647,40208.0,12190
648,55167.0,12192
649,72396.0,12193
650,41875.0,12194
651,92521.0,12196
652,50897.0,12197
653,82188.0,12198
654,29214.0,12202
655,54059.0,12203
656,49993.0,12204
657,65090.0,12205
658,26883.0,12206
659,11879.0,12207
660,58825.0,12208
661,56972.0,12209
662,32813.0,12210
663,95554.0,12211
664,,12223
665,,12226
666,,12247
667,,12260
668,66021.0,12302
669,61267.0,12303
670,43743.0,12304
671,28156.0,12305
672,58869.0,12306
673,21875.0,12307
674,40598.0,12308
675,87374.0,12309
676,47225.0,12401
677,67639.0,12404
678,46019.0,12405
679,40750.0,12406
680,28750.0,12407
681,53750.0,12409
682,60469.0,12410
683,63618.0,12411
684,52250.0,12412
685,43370.0,12413
686,49396.0,12414
687,33295.0,12416
688,63958.0,12418
689,48807.0,12419
690,58315.0,12421
691,30208.0,12422
692,48813.0,12423
693,34844.0,12424
694,110292.0,12427
695,44718.0,12428
696,48333.0,12430
697,56842.0,12431
698,64063.0,12433
699,32857.0,12434
700,62727.0,12435
701,39167.0,12439
702,64482.0,12440
703,36164.0,12442
704,76814.0,12443
705,28365.0,12444
706,51696.0,12446
707,61310.0,12448
708,50236.0,12449
709,22200.0,12450
710,60665.0,12451
711,73125.0,12454
712,47519.0,12455
713,48993.0,12456
714,53594.0,12457
715,52442.0,12458
716,52237.0,12460
717,61793.0,12461
718,44938.0,12463
719,49911.0,12464
720,50833.0,12465
721,59873.0,12466
722,41696.0,12468
723,51324.0,12469
724,24722.0,12470
725,41224.0,12472
726,71702.0,12473
727,51750.0,12474
728,60862.0,12477
729,23125.0,12480
730,54362.0,12481
731,29750.0,12482
732,84241.0,12484
733,41591.0,12485
734,72135.0,12486
735,67350.0,12487
736,61667.0,12491
737,52212.0,12492
738,66875.0,12494
739,50156.0,12495
740,50536.0,12496
741,65676.0,12498
742,64040.0,12501
743,64545.0,12502
744,70000.0,12503
745,66250.0,12507
746,62792.0,12508
747,60833.0,12513
748,91193.0,12514
749,61394.0,12515
750,66190.0,12516
751,51806.0,12517
752,80692.0,12518
753,84808.0,12520
754,53850.0,12521
755,56859.0,12522
756,51923.0,12523
757,74513.0,12524
758,76535.0,12525
759,60430.0,12526
760,63974.0,12528
761,78365.0,12529
762,90208.0,12531
763,100842.0,12533
764,46261.0,12534
765,70599.0,12538
766,99697.0,12540
767,62548.0,12542
768,61250.0,12543
769,61869.0,12545
770,61964.0,12546
771,64258.0,12547
772,52986.0,12548
773,81011.0,12549
774,56444.0,12550
775,71608.0,12553
